,A549$_{000}$,A549$_{001}$,A549$_{002}$,A549$_{100}$,A549$_{101}$,A549$_{102}$,A549$_{200}$,A549$_{201}$,A549$_{300}$,A549$_{301}$,A549$_{302}$,GM12878$_{400}$,GM12878$_{401}$,HepG2$_{500}$,HepG2$_{501}$,IMR-90$_{600}$,IMR-90$_{601}$,K562$_{700}$,K562$_{701}$,RWPE2$_{800}$,RWPE2$_{801}$,RWPE2$_{802}$,WTC11$_{900}$,WTC11$_{901}$
A549$_{302}$,0.5552447423922351,0.5403404520186185,0.5595108042451151,0.7828528308514904,0.6818172300128703,0.6908417573297941,0.6852667952965487,0.7162361260872244,0.8807568003078988,0.8769653564812349,1.0,0.34084315674835036,0.2929643961655915,0.2082109617441339,0.2741030046927834,0.3484437267537367,0.3774227711338903,0.27022743504550817,0.2904920515758971,0.20880550092988806,0.24191410324004506,0.2628713717764236,0.239422427838451,0.23115678319898522
GM12878$_{400}$,0.26687837459498176,0.2763581311578714,0.2752743527663118,0.33089882078934696,0.26561195152975575,0.2664429650129141,0.3013933429229885,0.3178255856984682,0.33696608201812783,0.33916385083868017,0.34084315674835036,1.0,0.8024467646677366,0.25016238395034257,0.33190227763686314,0.3977316982381197,0.42760742687712827,0.37333573738532955,0.41146872234654275,0.15148026982790475,0.1876611433759968,0.20429992863988794,0.28757187558890673,0.2635102344226199
GM12878$_{401}$,0.2347175908807303,0.24319809130278833,0.23908609415698096,0.2846179105598831,0.22552619113692615,0.22779645065584697,0.25066105136378186,0.2716610222098687,0.2878111774833775,0.2904137385027064,0.2929643961655915,0.8024467646677366,1.0,0.22111170696789864,0.28860894607231274,0.33647327640977137,0.36474208857830226,0.3321056157897445,0.3581666915972393,0.1391150274404168,0.16833314701011404,0.1826976991359464,0.2550986297442375,0.23874573121355874
HepG2$_{500}$,0.190610222122108,0.20143912173199544,0.19221725510642088,0.21667558174672868,0.16782095880464293,0.16729829759140985,0.18827272998479128,0.215657476518624,0.20505460272656595,0.20806725554807295,0.2082109617441339,0.25016238395034257,0.22111170696789864,1.0,0.6490728399646902,0.2341826064731255,0.2499776313647568,0.21950504602910242,0.23320760112316222,0.13947431927114964,0.1574215583774767,0.17154357390245034,0.20025382665708147,0.18591351528099131
HepG2$_{501}$,0.23979769564724293,0.25337038082115043,0.2448014909191877,0.2822223306561271,0.22076619394570585,0.21911779060126482,0.25201389355589476,0.2769491456761843,0.2721999429660298,0.2748521786653201,0.2741030046927834,0.33190227763686314,0.28860894607231274,0.6490728399646902,1.0,0.3128930567889115,0.33484244991883144,0.2903018853960154,0.31739163683449356,0.15917870522718722,0.18772747416808996,0.20576988708776642,0.25676041128313853,0.23487471592029793
IMR-90$_{600}$,0.2980803502154679,0.3073805451340456,0.3004423283277676,0.34416994712245724,0.26089056899270646,0.26197423958836386,0.28522930172792055,0.3160724833994018,0.34154123654415597,0.3480479337610757,0.3484437267537367,0.3977316982381197,0.33647327640977137,0.2341826064731255,0.3128930567889115,1.0,0.6973896286397951,0.3232796284445144,0.35344687882935827,0.17739785834191668,0.20987019505020835,0.2340969917015993,0.2762601541245682,0.25703767613173845
IMR-90$_{601}$,0.3269860277482628,0.3382905131496486,0.33074954659513417,0.3720759983569167,0.2839575092058446,0.2843696210502507,0.30606784366973305,0.3368708162631063,0.3718262175724417,0.37778357302062354,0.3774227711338903,0.42760742687712827,0.36474208857830226,0.2499776313647568,0.33484244991883144,0.6973896286397951,1.0,0.34838861287109035,0.3823758696409959,0.1934212381481844,0.22835405095531144,0.251424009861489,0.30091479539474386,0.2778431183645366
K562$_{700}$,0.23542471487595085,0.2471623715299151,0.24632342015796496,0.2682278985834526,0.2074424914939462,0.20549718328742705,0.23679115526645822,0.2526640219048293,0.2660563082870754,0.26851171104190974,0.27022743504550817,0.37333573738532955,0.3321056157897445,0.21950504602910242,0.2903018853960154,0.3232796284445144,0.34838861287109035,1.0,0.7725612072171718,0.12932709023342043,0.16032425898849845,0.17731151972915532,0.27889414627610415,0.2672835505154856
K562$_{701}$,0.23720195358590532,0.24856978795726437,0.24774267225669425,0.29180388791254924,0.22550189820247618,0.22478369376387103,0.257775761142481,0.2739136769936198,0.28586775395084274,0.29095086817295923,0.2904920515758971,0.41146872234654275,0.3581666915972393,0.23320760112316222,0.31739163683449356,0.35344687882935827,0.3823758696409959,0.7725612072171718,1.0,0.12756981507865697,0.16058760325187157,0.17628116832461962,0.2861778557435519,0.2683108975312564
RWPE2$_{800}$,0.20950297907386592,0.2123313709112279,0.19760039296385165,0.21245604022471165,0.15996411328248725,0.16390496139540237,0.15285156130256966,0.1839170401035606,0.20591364948627186,0.2094173435325,0.20880550092988806,0.15148026982790475,0.1391150274404168,0.13947431927114964,0.15917870522718722,0.17739785834191668,0.1934212381481844,0.12932709023342043,0.12756981507865697,1.0,0.5698444077244996,0.5868677075268779,0.13260357092793798,0.13159182685231416
