Cell1,Cell2,Exp1,Exp2,Rep1,Rep2,Isrep,Color,Rsq,Nmi
WTC11,A549,9,0,0,2,0,k,0.21297029745913637,0.23685967202838992
WTC11,A549,9,0,1,2,0,k,0.20649357812326702,0.23283360700965744
A549,A549,1,1,1,0,2,k,0.7310826547860172,0.48649964572633536
A549,A549,1,1,2,0,2,k,0.7471072681633129,0.5112769832057226
A549,A549,2,1,0,0,1,r,0.7246990895628665,0.4610928678039562
A549,A549,2,1,1,0,1,r,0.7562542615467804,0.5196467558528048
A549,A549,3,1,0,0,1,r,0.7732087132347041,0.555843749701239
A549,A549,3,1,1,0,1,r,0.7826136744667338,0.5603115291593442
A549,A549,3,1,2,0,1,r,0.7828528308514904,0.5584855966850392
GM12878,A549,4,1,0,0,0,k,0.33089882078934696,0.23199987558582766
GM12878,A549,4,1,1,0,0,k,0.2846179105598831,0.2251674433429903
HepG2,A549,5,1,0,0,0,k,0.21667558174672868,0.19444489052960828
HepG2,A549,5,1,1,0,0,k,0.2822223306561271,0.24116612706290594
IMR-90,A549,6,1,0,0,0,k,0.34416994712245724,0.2769571785067039
IMR-90,A549,6,1,1,0,0,k,0.3720759983569167,0.29399186555539614
K562,A549,7,1,0,0,0,k,0.2682278985834526,0.2397381769764158
K562,A549,7,1,1,0,0,k,0.29180388791254924,0.25415447210913555
RWPE2,A549,8,1,0,0,0,k,0.21245604022471165,0.1863106251295605
RWPE2,A549,8,1,1,0,0,k,0.2513651322084266,0.20991059391551295
RWPE2,A549,8,1,2,0,0,k,0.2703233281346879,0.22277159053490148
WTC11,A549,9,1,0,0,0,k,0.24525404836534356,0.2191681449519741
WTC11,A549,9,1,1,0,0,k,0.23805648640663243,0.21042593051318764
A549,A549,1,1,2,1,2,k,0.7245316672775856,0.6133971052580853
A549,A549,2,1,0,1,1,r,0.6387507254699099,0.5069840507302701
A549,A549,2,1,1,1,1,r,0.6693086356371222,0.48212718237880015
A549,A549,3,1,0,1,1,r,0.6633693715200037,0.4686321855127719
A549,A549,3,1,1,1,1,r,0.6815516077913644,0.45829303280312733
A549,A549,3,1,2,1,1,r,0.6818172300128703,0.4596120962890351
GM12878,A549,4,1,0,1,0,k,0.26561195152975575,0.1814186429268128
GM12878,A549,4,1,1,1,0,k,0.22552619113692615,0.18075096094604975
HepG2,A549,5,1,0,1,0,k,0.16782095880464293,0.17960364457046582
HepG2,A549,5,1,1,1,0,k,0.22076619394570585,0.21130436715858716
IMR-90,A549,6,1,0,1,0,k,0.26089056899270646,0.24138466408390263
IMR-90,A549,6,1,1,1,0,k,0.2839575092058446,0.24698733328437159
K562,A549,7,1,0,1,0,k,0.2074424914939462,0.19656993566054526
K562,A549,7,1,1,1,0,k,0.22550189820247618,0.20511706098805413
RWPE2,A549,8,1,0,1,0,k,0.15996411328248725,0.18175384933141983
RWPE2,A549,8,1,1,1,0,k,0.19071720916134174,0.20403520966542188
RWPE2,A549,8,1,2,1,0,k,0.20624630225673962,0.21308463284796694
WTC11,A549,9,1,0,1,0,k,0.18757029074407772,0.20145416335200306
WTC11,A549,9,1,1,1,0,k,0.18325152050426294,0.19863109317484445
A549,A549,2,1,0,2,1,r,0.6435542408344198,0.4962657006502056
A549,A549,2,1,1,2,1,r,0.6799624674593766,0.4918016632624735
A549,A549,3,1,0,2,1,r,0.6778775399173872,0.4865855651418159
A549,A549,3,1,1,2,1,r,0.698965862782013,0.48204751646482324
A549,A549,3,1,2,2,1,r,0.6908417573297941,0.47682406304034214
GM12878,A549,4,1,0,2,0,k,0.2664429650129141,0.18631377304850696
GM12878,A549,4,1,1,2,0,k,0.22779645065584697,0.18492354100141928
HepG2,A549,5,1,0,2,0,k,0.16729829759140985,0.17613523328876612
HepG2,A549,5,1,1,2,0,k,0.21911779060126482,0.20923407252466372
IMR-90,A549,6,1,0,2,0,k,0.26197423958836386,0.23890081463087634
IMR-90,A549,6,1,1,2,0,k,0.2843696210502507,0.24592828285307908
K562,A549,7,1,0,2,0,k,0.20549718328742705,0.19654108795004713
K562,A549,7,1,1,2,0,k,0.22478369376387103,0.20577608650272666
RWPE2,A549,8,1,0,2,0,k,0.16390496139540237,0.18050446081388727
RWPE2,A549,8,1,1,2,0,k,0.1945404443349672,0.2019231867787034
RWPE2,A549,8,1,2,2,0,k,0.20948307230763566,0.21150724612717237
WTC11,A549,9,1,0,2,0,k,0.1891009675406949,0.19874040611590676
WTC11,A549,9,1,1,2,0,k,0.1843249504929983,0.19492272082856119
A549,A549,2,2,1,0,2,k,0.7629011838869209,0.5843871346473346
A549,A549,3,2,0,0,1,r,0.6713481156859468,0.451962950048548
A549,A549,3,2,1,0,1,r,0.6789942475426277,0.43675382399357493
A549,A549,3,2,2,0,1,r,0.6852667952965487,0.4393177064314861
GM12878,A549,4,2,0,0,0,k,0.3013933429229885,0.19858505547709968
GM12878,A549,4,2,1,0,0,k,0.25066105136378186,0.19554873605544484
HepG2,A549,5,2,0,0,0,k,0.18827272998479128,0.19586132238525358
HepG2,A549,5,2,1,0,0,k,0.25201389355589476,0.23133588078310974
IMR-90,A549,6,2,0,0,0,k,0.28522930172792055,0.25983169761636526
IMR-90,A549,6,2,1,0,0,k,0.30606784366973305,0.26303896458104026
K562,A549,7,2,0,0,0,k,0.23679115526645822,0.21538920131432696
K562,A549,7,2,1,0,0,k,0.257775761142481,0.22507645289659484
RWPE2,A549,8,2,0,0,0,k,0.15285156130256966,0.17671056331781723
RWPE2,A549,8,2,1,0,0,k,0.18744213742602256,0.20129656174954888
RWPE2,A549,8,2,2,0,0,k,0.20353136895676877,0.21156646629023032
WTC11,A549,9,2,0,0,0,k,0.20496710556643807,0.21495569388015168
WTC11,A549,9,2,1,0,0,k,0.19801584459556187,0.20974578923258197
A549,A549,3,2,0,1,1,r,0.7078369104082124,0.49901453270666907
A549,A549,3,2,1,1,1,r,0.7168517103077178,0.48984224196757165
A549,A549,3,2,2,1,1,r,0.7162361260872244,0.4870841690438192
GM12878,A549,4,2,0,1,0,k,0.3178255856984682,0.21699253492995166
GM12878,A549,4,2,1,1,0,k,0.2716610222098687,0.21327355084063299
HepG2,A549,5,2,0,1,0,k,0.215657476518624,0.20240657346050236
HepG2,A549,5,2,1,1,0,k,0.2769491456761843,0.24374493943308378
IMR-90,A549,6,2,0,1,0,k,0.3160724833994018,0.26867682132477794
IMR-90,A549,6,2,1,1,0,k,0.3368708162631063,0.2782130973170864
K562,A549,7,2,0,1,0,k,0.2526640219048293,0.22869110315223404
K562,A549,7,2,1,1,0,k,0.2739136769936198,0.2386031526810602
RWPE2,A549,8,2,0,1,0,k,0.1839170401035606,0.1825121223930617
RWPE2,A549,8,2,1,1,0,k,0.22011070835961194,0.205957725169759
RWPE2,A549,8,2,2,1,0,k,0.23685058057258696,0.2185671615490864
WTC11,A549,9,2,0,1,0,k,0.2361836278829767,0.22240154971343473
WTC11,A549,9,2,1,1,0,k,0.2295098206998307,0.21467109389744382
A549,A549,3,3,1,0,2,k,0.8690970136150035,0.7070179827447265
A549,A549,3,3,2,0,2,k,0.8807568003078988,0.7300828143048003
GM12878,A549,4,3,0,0,0,k,0.33696608201812783,0.2312406302519755
GM12878,A549,4,3,1,0,0,k,0.2878111774833775,0.22298251051586584
HepG2,A549,5,3,0,0,0,k,0.20505460272656595,0.1942559107167175
HepG2,A549,5,3,1,0,0,k,0.2721999429660298,0.23966162077225409
IMR-90,A549,6,3,0,0,0,k,0.34154123654415597,0.28185846087298977
IMR-90,A549,6,3,1,0,0,k,0.3718262175724417,0.29854174096393243
K562,A549,7,3,0,0,0,k,0.2660563082870754,0.2334956282480724
K562,A549,7,3,1,0,0,k,0.28586775395084274,0.24649327603308968
RWPE2,A549,8,3,0,0,0,k,0.20591364948627186,0.19431621840604646
RWPE2,A549,8,3,1,0,0,k,0.2366062865539795,0.2142137302696074
