Sample1,Sample2,Cozero,Isrep,PearsonR,Rsquared,NMI,Spearman
ENCFF696EBU,ENCFF683RST,True,False,0.7521142441851152,0.565675836306147,0.46065927842333393,0.6741842362650715
ENCFF696EBU,ENCFF683RST,False,False,0.8461185377632439,0.71591657994661,0.6863161315826051,0.8824851658319026
ENCFF696EBU,ENCFF941CSK,True,False,0.7223514103890831,0.5217915600910976,0.4318369359961945,0.6423231952473965
ENCFF696EBU,ENCFF941CSK,False,False,0.8340562018385245,0.6956497478253054,0.6743744064402144,0.8738404348333508
ENCFF696EBU,ENCFF289JFI,True,False,0.6186198465826318,0.3826905145859189,0.38760878968694,0.6279839767682432
ENCFF696EBU,ENCFF289JFI,False,False,0.7649161808876772,0.5850967637837897,0.6766032315472321,0.876268004724296
ENCFF696EBU,ENCFF778ZUK,True,False,0.6499582472201569,0.42244572312949863,0.4235811343087817,0.6638592344196481
ENCFF696EBU,ENCFF778ZUK,False,False,0.7790538908727205,0.6069249648839247,0.6906177182979713,0.8859230539313836
ENCFF696EBU,ENCFF639EED,True,True,0.9464540804218134,0.8957753263471006,0.7843635162875932,0.8686170517146137
ENCFF696EBU,ENCFF639EED,False,True,0.9677478340332879,0.9365358702761202,0.8681836870725727,0.9536805875701032
ENCFF249YKT,ENCFF683RST,True,False,0.7063837116968247,0.4989779481505827,0.46180329324414576,0.7001838593233639
ENCFF249YKT,ENCFF683RST,False,False,0.799856671495461,0.6397706949357979,0.702542757284559,0.8962468063814977
ENCFF249YKT,ENCFF941CSK,True,False,0.6869576562730826,0.4719108215122067,0.4427055572027463,0.6765583628371791
ENCFF249YKT,ENCFF941CSK,False,False,0.7889959374216972,0.6225145892679427,0.6977835054509638,0.8909945344356253
ENCFF249YKT,ENCFF289JFI,True,False,0.5624074932065981,0.3163021884149297,0.3629843455201266,0.6003990683772344
ENCFF249YKT,ENCFF289JFI,False,False,0.6981900960727473,0.4874694102540721,0.6434729558805952,0.8586345773245793
ENCFF249YKT,ENCFF778ZUK,True,False,0.5831122833559665,0.340019935000609,0.3910683485476388,0.6314196557525023
ENCFF249YKT,ENCFF778ZUK,False,False,0.7087720929076611,0.5023578796847061,0.6537701588242766,0.8669569280196896
ENCFF249YKT,ENCFF639EED,True,False,0.687636426444165,0.47284385497290154,0.44735644637918764,0.6897787690352488
ENCFF249YKT,ENCFF639EED,False,False,0.7841696832156593,0.6149220920745474,0.6885223775745533,0.8882171841376749
ENCFF249YKT,ENCFF696EBU,True,False,0.6815370693246818,0.4644927768636762,0.44214331619995284,0.6815875355338311
ENCFF249YKT,ENCFF696EBU,False,False,0.7810707164779334,0.6100714641393522,0.6824225337540155,0.8854419774779286
ENCFF409CAG,ENCFF683RST,True,False,0.6949765798797699,0.4829924465813822,0.4615213329360979,0.6994962701822464
ENCFF409CAG,ENCFF683RST,False,False,0.8038342449336029,0.6461494933279754,0.7087577196069745,0.8981989351815685
ENCFF409CAG,ENCFF941CSK,True,False,0.6713359836630455,0.45069200296082884,0.4397288154885969,0.6738124921430719
ENCFF409CAG,ENCFF941CSK,False,False,0.793638818512785,0.6298625742503692,0.7018882592619641,0.8922670998241538
ENCFF409CAG,ENCFF289JFI,True,False,0.5445344507167277,0.29651776801736834,0.3595559875269406,0.5929210964723752
ENCFF409CAG,ENCFF289JFI,False,False,0.7001125638813745,0.4901576021045518,0.6430018267243266,0.8571877945742543
ENCFF409CAG,ENCFF778ZUK,True,False,0.5684385884734309,0.3231224288656665,0.38998084263440824,0.6263709825967141
ENCFF409CAG,ENCFF778ZUK,False,False,0.7111730241742771,0.5057670703131869,0.6555304228248052,0.8666286250181178
ENCFF409CAG,ENCFF639EED,True,False,0.6860777420338763,0.4707026681143021,0.4537894768664237,0.6865271968028708
ENCFF409CAG,ENCFF639EED,False,False,0.7952052150160953,0.6323513339887944,0.6920172375314513,0.8877688825924753
ENCFF409CAG,ENCFF696EBU,True,False,0.6793473583132446,0.4615128332471839,0.4467252403259553,0.6770736948893684
ENCFF409CAG,ENCFF696EBU,False,False,0.7912639695256056,0.6260986694694185,0.6846786158355906,0.8842481045770876
ENCFF409CAG,ENCFF249YKT,True,True,0.9559247974316065,0.913792218344658,0.7530174414603281,0.8720357623365401
