Sample1,Sample2,Cozero,Isrep,PearsonR,Rsquared,NMI,Spearman
ENCFF896NMH,ENCFF474LGV,True,False,0.21416416567466257,0.04586628985912432,0.09163104121860927,0.23481388008642615
ENCFF896NMH,ENCFF474LGV,False,False,0.6289276626992769,0.39555000490837544,0.6035305075166196,0.8059592194022711
ENCFF896NMH,ENCFF593VYY,True,False,0.2408096880020618,0.05798930583565034,0.0799660720654966,0.23205930686471407
ENCFF896NMH,ENCFF593VYY,False,False,0.5022578118407415,0.25226290955504965,0.45424894644986963,0.7059454740927655
ENCFF896NMH,ENCFF363VMR,True,True,0.9083955978160368,0.8251825621315549,0.6626264477068732,0.7829565222876314
ENCFF896NMH,ENCFF363VMR,False,True,0.95646319602806,0.914821845356211,0.8550338434508485,0.9511188675853397
ENCFF581PPG,ENCFF296OMI,True,False,0.20906709069845042,0.04370904841311409,0.10273505167809421,0.2429955153487259
ENCFF581PPG,ENCFF296OMI,False,False,0.4796919819280917,0.23010439752610065,0.5792115559785009,0.8004467970329492
ENCFF581PPG,ENCFF434UTC,True,False,0.1896043446400616,0.03594980750638725,0.09850093504341433,0.24104145410830768
ENCFF581PPG,ENCFF434UTC,False,False,0.43095293963132,0.1857204361768761,0.5555649108889604,0.787198931404687
ENCFF581PPG,ENCFF474LGV,True,False,0.2009280276974035,0.04037207231436855,0.12019000570423143,0.28492348265935225
ENCFF581PPG,ENCFF474LGV,False,False,0.5007039003391273,0.2507043958148147,0.6022545972283638,0.8134031426323873
ENCFF581PPG,ENCFF593VYY,True,False,0.23470779771974665,0.05508775031045351,0.11717602140287252,0.2965202340016975
ENCFF581PPG,ENCFF593VYY,False,False,0.4342905120778081,0.1886082488808048,0.46629782668495623,0.7219875730728497
ENCFF581PPG,ENCFF363VMR,True,False,0.28846340246888635,0.0832111345639267,0.16746960934065422,0.34901801579177427
ENCFF581PPG,ENCFF363VMR,False,False,0.5478604368508652,0.3001510582664208,0.651442122590278,0.8473893930924411
ENCFF581PPG,ENCFF896NMH,True,False,0.25469501473098083,0.06486955052881455,0.14966421502025343,0.3279561377123842
ENCFF581PPG,ENCFF896NMH,False,False,0.5196542788396828,0.2700405695163908,0.6432297126712675,0.8410639767770096
ENCFF627SMP,ENCFF296OMI,True,False,0.19701565793891118,0.038815169473102054,0.09250139752568427,0.23315374534589361
ENCFF627SMP,ENCFF296OMI,False,False,0.4309503899834398,0.18571823862687886,0.5593374133034636,0.7873500191829813
ENCFF627SMP,ENCFF434UTC,True,False,0.17879828861475117,0.03196882801156386,0.09003874728356037,0.2333468562238637
ENCFF627SMP,ENCFF434UTC,False,False,0.38999252674830226,0.15209417091952526,0.5399751415723986,0.7771571442951333
ENCFF627SMP,ENCFF474LGV,True,False,0.1869364102062246,0.03494522146078987,0.10920899896033912,0.27477145123297275
ENCFF627SMP,ENCFF474LGV,False,False,0.45043800364962283,0.20289439513185764,0.5964889096408353,0.8100821397352154
ENCFF627SMP,ENCFF593VYY,True,False,0.21733675783086787,0.0472352663044333,0.11096017758156904,0.28939940835024874
ENCFF627SMP,ENCFF593VYY,False,False,0.3977898258840825,0.1582367455768887,0.46323827084801833,0.7228222056090896
ENCFF627SMP,ENCFF363VMR,True,False,0.2866701280947714,0.08217976234187263,0.15823076789270885,0.34740496187202446
ENCFF627SMP,ENCFF363VMR,False,False,0.5055752034432897,0.2556062863367237,0.642582672711689,0.8425372438625478
ENCFF627SMP,ENCFF896NMH,True,False,0.2553056831470643,0.0651809918471892,0.14268089002130663,0.3274960591157673
ENCFF627SMP,ENCFF896NMH,False,False,0.4803674944767432,0.23075292974986392,0.6343171575969687,0.8360222592924486
