,A549$_{000}$,A549$_{001}$,A549$_{002}$,A549$_{100}$,A549$_{101}$,A549$_{102}$,A549$_{200}$,A549$_{201}$,A549$_{300}$,A549$_{301}$,A549$_{302}$,GM12878$_{400}$,GM12878$_{401}$,HepG2$_{500}$,HepG2$_{501}$,IMR-90$_{600}$,IMR-90$_{601}$,K562$_{700}$,K562$_{701}$,RWPE2$_{800}$,RWPE2$_{801}$,RWPE2$_{802}$,WTC11$_{900}$,WTC11$_{901}$
A549$_{302}$,0.41185110500361993,0.39940848256773726,0.3991424054200398,0.5584855966850392,0.4596120962890351,0.47682406304034214,0.4393177064314861,0.4870841690438192,0.7300828143048003,0.7088026036471217,1.0,0.23288545613554568,0.22529637742564015,0.19137074411554225,0.23640346336152002,0.278199011541021,0.29493117716607437,0.23515159236003882,0.24790393270380148,0.19065511386066986,0.21080753269055383,0.22559341918152323,0.21479189269015636,0.20621182851319222
GM12878$_{400}$,0.1983656358098839,0.20425335410945,0.19684749045532468,0.23199987558582766,0.1814186429268128,0.18631377304850696,0.19858505547709968,0.21699253492995166,0.2312406302519755,0.23098036996131113,0.23288545613554568,1.0,0.6492556382797537,0.1834578526251496,0.2363987473542563,0.27390681804593825,0.2960513337566948,0.27736328355380346,0.2994342292766258,0.12634564499797105,0.14678367212696614,0.1599337761188535,0.20449493629092932,0.18827155978289226
GM12878$_{401}$,0.19804574991267437,0.20405025236474925,0.19537329359719174,0.2251674433429903,0.18075096094604975,0.18492354100141928,0.19554873605544484,0.21327355084063299,0.22298251051586584,0.2233208725919705,0.22529637742564015,0.6492556382797537,1.0,0.18611693001892066,0.2355878609246863,0.2671794233505492,0.2872632753339703,0.2739681484716791,0.2919971584382898,0.12971843043642814,0.14884708943421238,0.16135225553755272,0.2056993971227475,0.19233831877629237
HepG2$_{500}$,0.21120407681837938,0.22024915495659914,0.2113355721034992,0.19444489052960828,0.17960364457046582,0.17613523328876612,0.19586132238525358,0.20240657346050236,0.1942559107167175,0.18948387527687693,0.19137074411554225,0.1834578526251496,0.18611693001892066,1.0,0.5640107679511955,0.24047111903122012,0.2394898315509902,0.21438146329505803,0.21794216435008396,0.17289085381146213,0.1836363763044856,0.19315515129661728,0.22553174606845922,0.21600950131522573
HepG2$_{501}$,0.24105536924297954,0.2516812894782404,0.241283193670341,0.24116612706290594,0.21130436715858716,0.20923407252466372,0.23133588078310974,0.24374493943308378,0.23966162077225409,0.23573767756183123,0.23640346336152002,0.2363987473542563,0.2355878609246863,0.5640107679511955,1.0,0.29189867285535925,0.2972440170033778,0.26811560044162225,0.2788965953725955,0.17293059548556514,0.1920099539887468,0.20725539676302868,0.2564158900912587,0.23950831931476044
IMR-90$_{600}$,0.2824480690455497,0.29020007361776307,0.2820630340048123,0.2769571785067039,0.24138466408390263,0.23890081463087634,0.25983169761636526,0.26867682132477794,0.28185846087298977,0.2772486698006293,0.278199011541021,0.27390681804593825,0.2671794233505492,0.24047111903122012,0.29189867285535925,1.0,0.6434064375947995,0.28827646962705905,0.3033973508551141,0.1960746032118643,0.22077957768066978,0.23952699010810893,0.2756103412656054,0.2602430925505527
IMR-90$_{601}$,0.29444458104644683,0.30324582527637767,0.29278048473007845,0.29399186555539614,0.24698733328437159,0.24592828285307908,0.26303896458104026,0.2782130973170864,0.29854174096393243,0.2945300224771001,0.29493117716607437,0.2960513337566948,0.2872632753339703,0.2394898315509902,0.2972440170033778,0.6434064375947995,1.0,0.3017057531747884,0.3200518674083774,0.1979650920263958,0.222460442528798,0.24033797302226792,0.2793583519035724,0.26077039916824096
K562$_{700}$,0.22698875968828028,0.23414693410261853,0.2284963524560927,0.2397381769764158,0.19656993566054526,0.19654108795004713,0.21538920131432696,0.22869110315223404,0.2334956282480724,0.23346901706162454,0.23515159236003882,0.27736328355380346,0.2739681484716791,0.21438146329505803,0.26811560044162225,0.28827646962705905,0.3017057531747884,1.0,0.6503940899134545,0.14220083708344777,0.16546338011001843,0.18024407883988747,0.2533676808642349,0.23985707434917158
K562$_{701}$,0.2315496965920265,0.23948888698361734,0.23309536609897866,0.25415447210913555,0.20511706098805413,0.20577608650272666,0.22507645289659484,0.2386031526810602,0.24649327603308968,0.24562665074895074,0.24790393270380148,0.2994342292766258,0.2919971584382898,0.21794216435008396,0.2788965953725955,0.3033973508551141,0.3200518674083774,0.6503940899134545,1.0,0.14154636748254198,0.16507679680276716,0.17921850289703337,0.2567628811477419,0.24110756565179564
RWPE2$_{800}$,0.21733258205747832,0.2165523434459834,0.21017062791198993,0.1863106251295605,0.18175384933141983,0.18050446081388727,0.17671056331781723,0.1825121223930617,0.19431621840604646,0.18956452274842975,0.19065511386066986,0.12634564499797105,0.12971843043642814,0.17289085381146213,0.17293059548556514,0.1960746032118643,0.1979650920263958,0.14220083708344777,0.14154636748254198,1.0,0.5558669810273754,0.5561043347585873,0.17503712168720495,0.17718139695095655
